albTitle,trackName,trackComposer,genreName
Sambas De Enredo 2001,Tradição,Adalto Magalha/Lourenco,Latin
Sambas De Enredo 2001,Império Serrano,Arlindo Cruz/Carlos Sena/Elmo Caetano/Mauricao,Latin
Sambas De Enredo 2001,Salgueiro,"Augusto/Craig Negoescu/Rocco Filho/Saara, Ze Carlos Da",Latin
Sambas De Enredo 2001,Mangueira,Bizuca/Clóvis Pê/Gilson Bernini/Marelo D'Aguia,Latin
Sambas De Enredo 2001,Grande Rio,Carlos Santos/Ciro/Claudio Russo/Zé Luiz,Latin
Sambas De Enredo 2001,Beija-Flor,Caruso/Cleber/Deo/Osmar,Latin
Sambas De Enredo 2001,Tuiuti,"Claudio Martins/David Lima/Kleber Rodrigues/Livre, Cesare Som",Latin
Sambas De Enredo 2001,Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,Latin
Sambas De Enredo 2001,União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",Latin
Sambas De Enredo 2001,Mocidade,"Domenil/J. Brito/Joaozinho/Rap, Marcelo Do",Latin
Sambas De Enredo 2001,Unidos Da Tijuca,"Douglas/Neves, Vicente Das/Silva, Gilmar L./Toninho Gentil/Wantuir",Latin
Sambas De Enredo 2001,Portela,Flavio Bororo/Paulo Apparicio/Wagner Alves/Zeca Sereno,Latin
Sambas De Enredo 2001,Imperatriz,Guga/Marquinho Lessa/Tuninho Professor,Latin
Sambas De Enredo 2001,Caprichosos,Gule/Jorge 101/Lequinho/Luiz Piao,Latin
